ISIN	NOM	SICOVAM	TICKER	GROUP				
BE0003470755	SOLVAY		SOLB	CAC40				
BE0003796134	DEXIA		DEXB	SBF120			#N/A	
FR0000031122	AIR FRANCE-KLM	3112	AF	SBF120			#N/A	#N/A
FR0000031577	VIRBAC	3157	VIRP	SBF120			#N/A	#N/A
FR0000031775	VICAT	3177	VCT	SBF120			#N/A	#N/A
FR0000034639	ALTRAN TECHN.	3463	ALT	SBF120			#N/A	#N/A
FR0000035081	ICADE		ICAD	SBF120			#N/A	#N/A
FR0000035164	BENETEAU	3516	BEN	SBF120			#N/A	#N/A
FR0000038259	EUROFINS SCIENT.	3825	ERF	SBF120			#N/A	#N/A
FR0000039299	BOLLORE		BOL	SBF120			#N/A	#N/A
FR0000044448	NEXANS	4444	NEX	SBF120			#N/A	#N/A
FR0000045072	CREDIT AGRICOLE	4507	ACA	CAC40			FR0000045072	1.00
FR0000050916	SILIC	5091	SIL	SBF120			FR0000045072	0.00
FR0000051070	MAUREL ET PROM	5107	MAU	SBF120			FR0000045072	0.00
FR0000051732	ATOS		ATO	SBF120			FR0000045072	0.00
FR0000051807	TELEPERFORMANCE	5180	RCF	SBF120			FR0000045072	0.00
FR0000052292	HERMES INTL	5229	RMS	SBF120			FR0000045072	0.00
FR0000053142	FAIVELEY TRANSPORT		LEY	SBF120			FR0000045072	0.00
FR0000053225	METROPOLE TV	5322	MMT	SBF120			FR0000045072	0.00
FR0000053381	DERICHEBOURG		DBG	SBF120			FR0000045072	0.00
FR0000054470	UBISOFT ENTERTAIN	5447	UBI	SBF120			FR0000045072	0.00
FR0000054900	TF1	5490	TFI	SBF120			FR0000045072	0.00
FR0000060501	CFAO		CFAO	SBF120			FR0000045072	0.00
FR0000064578	FONCIERE DES REGIONS	6457	FDR	SBF120			FR0000045072	0.00
FR0000071946	ALTEN	7194	ATE	SBF120			FR0000045072	0.00
FR0000072910	GROUPE STERIA	7291	RIA	SBF120			FR0000045072	0.00
FR0000073272	SAFRAN		SAF	CAC40			FR0000073272	1.00
FR0000073298	IPSOS	7329	IPS	SBF120			FR0000073272	0.00
FR0000077919	JC DECAUX SA.	7791	DEC	SBF120			FR0000073272	0.00
FR0000120073	AIR LIQUIDE	12007	AI	CAC40			FR0000120073	1.00
FR0000120164	CGG VERITAS	CGG	GA	SBF120			FR0000120073	0.00
FR0000120172	CARREFOUR	12017	CA	CAC40			FR0000120172	1.00
FR0000120222	CNP ASSURANCES	12022	CNP	SBF120			FR0000120172	0.00
FR0000120271	TOTAL	12027	FP	CAC40			FR0000120271	1.00
FR0000120321	L'OREAL	12032	OR	CAC40			FR0000120321	1.00
FR0000120354	VALLOUREC	12035	VK	CAC40			FR0000120354	1.00
FR0000120404	ACCOR	12040	AC	CAC40			FR0000120404	1.00
FR0000120503	BOUYGUES	12050	EN	CAC40			FR0000120503	1.00
FR0000120537	LAFARGE	12053	LG	CAC40			FR0000120537	1.00
FR0000120560	NEOPOST	12056	NEO	SBF120			FR0000120537	0.00
FR0000120578	SANOFI		SAN	CAC40			FR0000120578	1.00
FR0000120628	AXA	12062	CS	CAC40			FR0000120628	1.00
FR0000120644	DANONE	12064	BN	CAC40			FR0000120644	1.00
FR0000120685	NATIXIS		KN	SBF120			FR0000120644	0.00
